,gene_ID,type,gene_symbol,start,stop,description,pos,pathway,"L: L, Mono","D: L, S in maj 1","FL: L, Eco Eq 1","Q: L, Glu exp","WL: L, S in maj 2","Y: L, Eco Eq 2"
2429,EBG00001040594,ncrna,StyR-44,2650685,2650784,,2650734.5,,,,,,,
2430,ECB_t00045,ncrna,gltW,2650862,2650937,,2650899.5,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,
2431,EBG00001040520,ncrna,tRNA,2650865,2650937,,2650901.0,,,,,,,
2432,ECB_r00006,ncrna,rrsG,2651023,2652564,,2651793.5,{'ebr03010': 'Ribosome'},,,,,,
2433,EBG00001040595,ncrna,SSU_rRNA_archaea,2651025,2652559,,2651792.0,,,,,,,
2434,ECB_02482,cds,clpB,2653008,2655581,protein disaggregation chaperone,2654294.5,,0.00556979409786734,0.0070785209677160675,-0.003900454260508073,,,-0.019790270892295042
2435,ECB_02483,cds,yfiH,2655711,2656442,hypothetical protein,2656076.5,"{'ebr00230': 'Purine metabolism', 'ebr00270': 'Cysteine and methionine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}",,,,,,
2436,ECB_02484,cds,rluD,2656439,2657419,23S rRNA pseudouridine synthase,2656929.0,,,,,,,
2437,ECB_02485,cds,yfiO,2657554,2658291,predicted lipoprotein,2657922.5,,,,,,,
2438,ECB_02486,cds,yfiA,2658562,2658903,cold shock protein associated with 30S ribosomal subunit,2658732.5,,,,,,,
2439,ECB_02487,cds,pheL,2659007,2659054,pheA gene leader peptide,2659030.5,,,,,,,
2440,ECB_02488,cds,pheA,2659152,2660312,fused chorismate mutase P/prephenate dehydratase,2659732.0,"{'ebr00400': 'Phenylalanine, tyrosine and tryptophan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01230': 'Biosynthesis of amino acids'}",,,,,,
2441,ECB_02489,cds,tyrA,2660355,2661476,fused chorismate mutase T/prephenate dehydrogenase,2660915.5,"{'ebr00400': 'Phenylalanine, tyrosine and tryptophan biosynthesis', 'ebr00401': 'Novobiocin biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01230': 'Biosynthesis of amino acids'}",,,,,,
2442,ECB_02490,cds,aroF,2661487,2662557,"3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible",2662022.0,"{'ebr00400': 'Phenylalanine, tyrosine and tryptophan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01230': 'Biosynthesis of amino acids', 'ebr02024': 'Quorum sensing'}",-0.07238816712322341,-0.018850281227068916,-0.05582439847073464,-0.030047770591635006,-0.0020672568879722525,-0.0654687890658537
2443,ECB_02491,cds,yfiL,2662767,2663132,hypothetical protein,2662949.5,,-0.00979524593710521,-0.01765108158619403,-0.004824018529782929,-0.010715006361763812,-0.012805765788223743,-0.0067370497359924494
2444,ECB_02492,cds,yfiR,2663282,2663800,hypothetical protein,2663541.0,,-0.010821078961289367,0.0014241412411856221,-0.0132574843688561,-0.0032535331783522295,-0.002040814639538093,-0.01676847416182445
2445,ECB_02493,cds,yfiN,2663790,2665016,predicted diguanylate cyclase,2664403.0,,-0.010005058230429107,-0.04710177410977194,-0.01081786007175672,-0.00389440413569733,-0.020447508522601892,-0.019424383139563267
2446,ECB_02494,cds,yfiB,2665032,2665514,predicted outer membrane lipoprotein,2665273.0,,-0.014100835707372509,-0.024524103248231833,-0.02638459886491923,-0.028271097220212118,-0.07625029101366244,-0.012409991634889518
2447,ECB_02495,cds,rplS,2665590,2665937,50S ribosomal protein L19,2665763.5,{'ebr03010': 'Ribosome'},,,,,,
2448,ECB_02496,cds,trmD,2665979,2666746,tRNA (guanine-N(1)-)-methyltransferase,2666362.5,,,,,,,
2449,ECB_02497,cds,rimM,2666777,2667325,16S rRNA-processing protein,2667051.0,,,,,,,
2450,ECB_02498,cds,rpsP,2667344,2667592,30S ribosomal protein S16,2667468.0,{'ebr03010': 'Ribosome'},,,,,,
2451,ECB_02499,cds,ffh,2667729,2669090,Signal Recognition Particle (SRP) component with 4.5S RNA (ffs),2668409.5,"{'ebr02024': 'Quorum sensing', 'ebr03060': 'Protein export', 'ebr03070': 'Bacterial secretion system'}",,,,,,
2452,ECB_02500,cds,ypjD,2669182,2670048,predicted inner membrane protein,2669615.0,,-0.015706735243125852,-0.05007316147596511,-0.03644827018805402,-0.04956467275075672,-0.06151969504608298,-0.02611633618220926
2453,ECB_02501,cds,yfjD,2670159,2671355,predicted inner membrane protein,2670757.0,,0.0010163375558083327,-0.01233364753106301,-0.009376972016602652,0.002892947575527025,-0.014436779481765007,0.0009774316581901712
2454,ECB_02502,cds,grpE,2671410,2672003,heat shock protein,2671706.5,,,,,,,
2455,ECB_02503,cds,ppnK,2672126,2673004,inorganic polyphosphate/ATP-NAD kinase,2672565.0,"{'ebr00760': 'Nicotinate and nicotinamide metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}",,,,,,
2456,ECB_02504,cds,recN,2673090,2674751,recombination and repair protein,2673920.5,,-0.02148945754444825,-0.031991580003070064,-0.03133584800305931,-0.06204840512870305,-0.03391456185206515,-0.048787438321454796
2457,ECB_02505,cds,smpA,2675089,2675241,small membrane lipoprotein,2675165.0,,-0.024525643312337878,,-0.04607839775516744,,-0.060746797280483336,
2458,ECB_02506,cds,yfjF,2675303,2675593,hypothetical protein,2675448.0,,,,,,,
2459,ECB_02507,cds,yfjG,2675583,2676059,hypothetical protein,2675821.0,,,,,,,
2460,ECB_02508,cds,smpB,2676191,2676673,SsrA-binding protein,2676432.0,,,,,,,
2461,EBG00001040604,ncrna,tmRNA,2676888,2677250,,2677069.0,,,,,,,
2462,ECB_02513,cds,insA-20,2682663,2682938,IS1 protein InsA,2682800.5,,,,,,,
2463,ECB_02514,cds,insB-20,2682857,2683360,IS1 protein InsB,2683108.5,,,,,,,
2464,ECB_02515,cds,csiD,2683666,2684643,hypothetical protein,2684154.5,"{'ebr00310': 'Lysine degradation', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}",-0.017697687080310553,-0.028215091747958387,0.0027433955479403537,-0.017071925475454428,-0.016792577325181496,-0.00621863067691063
2465,ECB_02516,cds,ygaF,2684662,2685930,predicted enzyme,2685296.0,"{'ebr00310': 'Lysine degradation', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}",-0.011046046943288415,-0.024494778067372627,-0.0053734081107323995,-0.016064459165799246,-0.0014566788167665148,-0.023752040016993905
2466,ECB_02517,cds,gabD,2685953,2687401,"succinate-semialdehyde dehydrogenase I, NADP-dependent",2686677.0,"{'ebr00250': 'Alanine, aspartate and glutamate metabolism', 'ebr00310': 'Lysine degradation', 'ebr00350': 'Tyrosine metabolism', 'ebr00650': 'Butanoate metabolism', 'ebr00760': 'Nicotinate and nicotinamide metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}",-0.003782206267147246,-0.014725688721483122,-0.015566092848958265,-0.012863456584327821,-0.005113459681876402,9.884427110512872e-05
2467,ECB_02518,cds,gabT,2687415,2688695,4-aminobutyrate aminotransferase,2688055.0,"{'ebr00250': 'Alanine, aspartate and glutamate metabolism', 'ebr00280': 'Valine, leucine and isoleucine degradation', 'ebr00310': 'Lysine degradation', 'ebr00410': 'beta-Alanine metabolism', 'ebr00640': 'Propanoate metabolism', 'ebr00650': 'Butanoate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}",-0.005177136584164664,-0.023914215833910048,-0.008473751188378495,-0.01688843212240787,0.004013787297050842,-0.02337930708902157
2468,ECB_02519,cds,gabP,2689006,2690406,gamma-aminobutyrate transporter,2689706.0,,-0.0060006855487697765,-0.01045131744083511,-0.005597703452736726,-0.0036883926208642,-0.013469793194372562,-0.011648981043467248
2469,ECB_02520,cds,ygaE,2690427,2691089,DNA-binding transcriptional dual regulator,2690758.0,,-0.016740118744306698,-0.05287069499476554,-0.03105882812856925,-0.04721178418166849,-0.019162593931054482,-0.0340348916626006
2470,ECB_02521,cds,ygaU,2691090,2691539,hypothetical protein,2691314.5,,-0.012623544463932785,-0.02075232373135391,-0.022936046184483343,-0.035670979262424685,-0.03928263353691395,-0.029660987254270625
2471,ECB_02522,cds,yqaE,2691623,2691781,predicted membrane protein,2691702.0,,,,,,,
2472,ECB_02523,cds,ygaV,2691964,2692263,predicted DNA-binding transcriptional regulator,2692113.5,,-0.012011475007545512,-0.03870073965175037,-0.018802335209596215,-0.03173993268536798,-0.015640843987319897,-0.030163981126598405
2473,ECB_02524,cds,ygaP,2692273,2692797,predicted inner membrane protein with hydrolase activity,2692535.0,,-0.008987310952911734,-0.022664051118445296,-0.01182470658717886,-0.010635860451174392,-0.016638314153019727,-0.037294013692803836
2474,ECB_02525,cds,stpA,2692844,2693248,"DNA binding protein, nucleoid-associated",2693046.0,,-0.008513465731785247,-0.03593128872179704,-0.01350811493108656,-0.014711415218476954,-0.04042301907470493,-0.02331370130748987
2475,ECB_02526,cds,ygaW,2693916,2694365,predicted inner membrane protein,2694140.5,,-0.008802172211761319,-0.021277012013740524,-0.029464559398435286,-0.03834994413360487,-0.017462287835165676,-0.01875174744739446
2476,ECB_02527,cds,ygaC,2694402,2694746,hypothetical protein,2694574.0,,-0.009208458784994598,-0.02278683686840924,-0.013106484414091778,-0.0038319041928361374,-0.01960412886653626,-0.02308666286591914
2477,ECB_02528,cds,ygaM,2694886,2695227,hypothetical protein,2695056.5,,-0.005757991592778041,-0.038758584997788156,-0.02789912171902489,-0.03314743842473975,-0.04317578114556639,-0.048386390974499545
2478,ECB_02529,cds,nrdH,2695475,2695720,glutaredoxin-like protein,2695597.5,,,,,,,
2479,ECB_02530,cds,nrdI,2695717,2696127,hypothetical protein,2695922.0,,0.0017192918915796835,0.005448458893222432,-0.007861246828691897,-0.0006052485959094123,0.004407511158178248,0.009604494375191813
2480,ECB_02531,cds,nrdE,2696100,2698244,ribonucleotide-diphosphate reductase alpha subunit,2697172.0,"{'ebr00230': 'Purine metabolism', 'ebr00240': 'Pyrimidine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}",-0.008710848574229327,-0.017947939116944266,-0.02585149583269667,-0.048631314836958206,-0.06469514933290084,-0.03198412226469524
2481,ECB_02532,cds,nrdF,2698254,2699213,ribonucleotide-diphosphate reductase beta subunit,2698733.5,"{'ebr00230': 'Purine metabolism', 'ebr00240': 'Pyrimidine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}",-0.013631309856245328,-0.06243580143096045,-0.031101224163939706,-0.0445925386352132,-0.028711282832210958,-0.05029068833612069
2482,ECB_02533,cds,proV,2699567,2700769,glycine betaine transporter subunit,2700168.0,{'ebr02010': 'ABC transporters'},-0.011700137320998704,-0.02874081600151853,-0.01752410301217413,-0.009499727308239635,-0.0215899047788775,-0.025225221853876042
2483,ECB_02534,cds,proW,2700762,2701826,glycine betaine transporter subunit,2701294.0,{'ebr02010': 'ABC transporters'},-0.019817697658916146,-0.031500298291690494,-0.04300860123004268,-0.08764791600501487,-0.05807379679576554,-0.09466498078321574
2484,ECB_02535,cds,proX,2701884,2702876,glycine betaine transporter subunit,2702380.0,{'ebr02010': 'ABC transporters'},-0.014425218577746559,-0.036992959153266974,-0.02787079110645885,-0.07081935002134196,-0.048488130657558644,-0.034887961146017846
2485,ECB_02536,cds,ygaXY,2703168,2704352,predicted transporter,2703760.0,,-0.016791453141892433,-0.050004891777209425,-0.035772627339747766,-0.06508837306715605,-0.053641604629463546,-0.05310808911845714
2486,ECB_02537,cds,ygaZ,2704476,2705213,predicted transporter,2704844.5,,-0.004075043841787814,0.01099303835907357,0.0034548031428832,-0.005148676639034988,-0.003720046122498246,0.0037140498528343267
2487,ECB_02538,cds,ygaH,2705203,2705538,predicted inner membrane protein,2705370.5,,-0.011854898766358287,,-0.00386952185794129,-0.03625689762684416,-0.09420197061367704,-0.024350305454594105
2488,ECB_02539,cds,emrR,2705629,2706159,DNA-binding transcriptional repressor of microcin B17 synthesis and multidrug efflux,2705894.0,,,,,,,
2489,ECB_02540,cds,emrA,2706286,2707458,multidrug efflux system,2706872.0,,-0.005578230747816544,-0.029444527597816655,-0.019111529781733,-0.007250677092924399,-0.020761969185652155,-0.0264856446066696
2490,ECB_02541,cds,emrB,2707475,2709013,multidrug efflux system protein,2708244.0,,-0.016718542609990845,-0.10763079631165029,-0.04783807359940733,-0.0931127573416609,-0.06262179711093377,-0.04013526684093843
2491,ECB_02542,cds,ygaG,2709077,2709592,S-ribosylhomocysteinase,2709334.5,"{'ebr00270': 'Cysteine and methionine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01230': 'Biosynthesis of amino acids', 'ebr02024': 'Quorum sensing', 'ebr02026': 'Biofilm formation - Escherichia coli'}",-0.01930500950099731,-0.018764600100837376,-0.033801447077651744,-0.053800625714359,-0.08587077998630184,
2492,EBG00001040549,ncrna,MicA,2709661,2709732,,2709696.5,,,,,,,
2493,ECB_02543,cds,gshA,2709742,2711298,glutamate-cysteine ligase,2710520.0,"{'ebr00270': 'Cysteine and methionine metabolism', 'ebr00480': 'Glutathione metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}",,,,,,
2494,ECB_02544,cds,yqaA,2711371,2711799,conserved inner membrane protein,2711585.0,,-0.014558960085794288,,-0.02487917237278796,-0.08955377451486442,,
2495,ECB_02545,cds,yqaB,2711796,2712362,predicted hydrolase,2712079.0,,-0.029175012276281723,-0.053721452213259795,-0.047983353733368816,-0.08940315793091685,-0.07611696369995241,-0.05457014242176292
2496,ECB_t00046,ncrna,argQ,2712643,2712719,,2712681.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,
2497,EBG00001040663,ncrna,tRNA,2712646,2712719,,2712682.5,,,,,,,
2498,ECB_t00047,ncrna,argZ,2712918,2712994,,2712956.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,
2499,EBG00001040698,ncrna,tRNA,2712921,2712994,,2712957.5,,,,,,,
2500,ECB_t00048,ncrna,argY,2713057,2713133,,2713095.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,
2501,EBG00001040559,ncrna,tRNA,2713060,2713133,,2713096.5,,,,,,,
2502,ECB_t00049,ncrna,argV,2713332,2713408,,2713370.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,
2503,EBG00001040585,ncrna,tRNA,2713335,2713408,,2713371.5,,,,,,,
2504,ECB_t00050,ncrna,serV,2713412,2713504,,2713458.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,
2505,EBG00001040543,ncrna,tRNA,2713415,2713504,,2713459.5,,,,,,,
2506,ECB_02546,cds,csrA,2713820,2714005,carbon storage regulator,2713912.5,"{'ebr02020': 'Two-component system', 'ebr02026': 'Biofilm formation - Escherichia coli'}",,,,,,
2507,ECB_02547,cds,alaS,2714240,2716870,alanyl-tRNA synthetase,2715555.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,
2508,ECB_02548,cds,recX,2716998,2717498,RecA regulator RecX,2717248.0,,,,,,,
2509,ECB_02549,cds,recA,2717567,2718628,recombinase A,2718097.5,{'ebr03440': 'Homologous recombination'},,,,,,
2510,ECB_02550,cds,ygaD,2718708,2719205,competence damage-inducible protein A,2718956.5,"{'ebr00760': 'Nicotinate and nicotinamide metabolism', 'ebr01100': 'Metabolic pathways'}",-0.016451898013544575,-0.09148427230600767,-0.03689654129592761,-0.010382271452215212,-0.08180421139166197,-0.042758243733240636
2511,ECB_02551,cds,mltB,2719350,2720435,membrane-bound lytic murein transglycosylase B,2719892.5,,-0.0019045023176768945,-0.02239126076813496,0.0029705476267445426,-0.005534108816442178,-0.011269844948831124,0.0019391413163189321
2512,ECB_02552,cds,srlA,2720691,2721254,glucitol/sorbitol-specific enzyme IIC component of PTS,2720972.5,"{'ebr00051': 'Fructose and mannose metabolism', 'ebr01100': 'Metabolic pathways', 'ebr02060': 'Phosphotransferase system (PTS)'}",-0.008322458025519869,-0.046266293452053055,-0.025918130017616257,-0.022671177234123638,-0.07591870616366286,-0.04056222980794909
2513,ECB_02553,cds,srlE,2721251,2722210,glucitol/sorbitol-specific enzyme IIB component of PTS,2721730.5,"{'ebr00051': 'Fructose and mannose metabolism', 'ebr01100': 'Metabolic pathways', 'ebr02060': 'Phosphotransferase system (PTS)'}",-0.0095657478798924,0.017315835929546386,-0.007842229166457179,0.002287327063629974,-0.01772945571743079,-0.004887742399409568
2514,ECB_02554,cds,srlB,2722221,2722592,glucitol/sorbitol-specific enzyme IIA component of PTS,2722406.5,"{'ebr00051': 'Fructose and mannose metabolism', 'ebr01100': 'Metabolic pathways', 'ebr02060': 'Phosphotransferase system (PTS)'}",,,,,,
2515,ECB_02555,cds,srlD,2722596,2723375,3-ketoacyl-(acyl-carrier-protein) reductase,2722985.5,"{'ebr00051': 'Fructose and mannose metabolism', 'ebr01100': 'Metabolic pathways'}",-0.007265972029494651,,-0.007280569782148589,-0.023591624624142757,-0.009694443916007062,-0.026375154045299633
2516,ECB_02556,cds,gutM,2723481,2723840,DNA-binding transcriptional activator of glucitol operon,2723660.5,,,,-0.0034317895926768258,0.002113342699094121,0.0032081214588620026,0.0012858788537614889
2517,ECB_02557,cds,srlR,2723907,2724680,DNA-bindng transcriptional repressor,2724293.5,,-0.07107119790080174,-0.10271486123208065,-0.05491128257019432,-0.07684812953033705,-0.06821435327907145,-0.1817857123469965
2518,ECB_02558,cds,gutQ,2724673,2725638,predicted phosphosugar-binding protein,2725155.5,,,,,,,
2519,ECB_02559,cds,ygaA,2725635,2727149,anaerobic nitric oxide reductase transcription regulator,2726392.0,,-0.016040875436162175,-0.036901669404383323,-0.02087167625902963,-0.035506194483916835,-0.007452408511159256,-0.032122380212471706
2520,ECB_02560,cds,norV,2727336,2728775,anaerobic nitric oxide reductase flavorubredoxin,2728055.5,,-0.016489067729721085,-0.026991405387290723,-0.007385042191870291,-0.03508075514248381,-0.025353495370079807,-0.020899290236206854
2521,ECB_02561,cds,ygbD,2728772,2729905,nitric oxide reductase,2729338.5,,-0.008087143761619398,-0.042736432087293316,-0.031760125294165546,-0.0383655795128423,-0.017057263114401228,-0.04368996687795349
2522,ECB_02562,cds,hypF,2730033,2732285,carbamoyl phosphate phosphatase and maturation protein,2731159.0,,-0.0035990888728218615,-0.01369124990447466,-0.012569800088345295,-0.008621482417326921,-0.01877893888819097,-0.037488836131032426
2523,ECB_02563,cds,hydN,2732438,2732965,"formate dehydrogenase-H, [4Fe-4S] ferredoxin subunit",2732701.5,,-0.00988358868260595,-0.0535487217600823,-0.004215609197559616,-0.012528136782702998,-0.00810902231897266,-0.02986575012513216
2524,ECB_02564,cds,ascG,2733114,2734127,DNA-binding transcriptional repressor,2733620.5,,-0.02745868392723328,-0.026989465821737973,-0.00798215015609681,-0.012218565568681016,-0.03437696337109471,-0.030885559789374205
2525,ECB_02565,cds,ascF,2734384,2735841,fused cellobiose/arbutin/salicin-specific PTS enzymes,2735112.5,"{'ebr00010': 'Glycolysis / Gluconeogenesis', 'ebr02060': 'Phosphotransferase system (PTS)'}",-0.008443334286524568,-0.029948445566775887,-0.0005996324094094729,-0.013871997071058495,-0.0036657447683736124,-0.02095873464836782
2526,ECB_02566,cds,ascB,2735850,2737274,cryptic 6-phospho-beta-glucosidase,2736562.0,"{'ebr00010': 'Glycolysis / Gluconeogenesis', 'ebr00500': 'Starch and sucrose metabolism'}",0.011760859143891267,,-0.0027470271209415298,-0.0012218920857598678,-0.003768553456654775,0.004886010319145335
2527,ECB_02567,cds,hycI,2737433,2737903,protease,2737668.0,,-0.0033002249819323337,,,-0.016315173839916645,,
2528,ECB_02568,cds,hycH,2737896,2738306,HycH,2738101.0,,-0.030014406835500444,,-0.050690170888025465,-0.09743668653525445,-0.06043793311679939,-0.08175670137108862
2529,ECB_02569,cds,hycG,2738303,2739070,"hydrogenase 3 and formate hydrogenase complex, HycG subunit",2738686.5,,-0.01616400887916599,,-0.04555335751174565,-0.10420196658072249,-0.07498797079280785,-0.0450833898731886
2530,ECB_02570,cds,hycF,2739070,2739612,formate hydrogenlyase complex iron-sulfur protein,2739341.0,,,,,,,
2531,ECB_02571,cds,hycE,2739622,2741331,"hydrogenase 3, large subunit",2740476.5,,-0.01742316799727054,-0.04445069331514686,-0.015585800969508212,-0.0419318755225449,-0.019690773429865915,-0.03727291698259182
2532,ECB_02572,cds,hycD,2741349,2742272,"hydrogenase 3, membrane subunit",2741810.5,,0.0022486960531835245,0.009247127461111218,0.004724038983596945,-0.02442654529967659,-0.00509794591975446,-0.01167180828779972
2533,ECB_02573,cds,hycC,2742275,2744101,NADH dehydrogenase subunit N,2743188.0,,-0.015393539635263452,-0.10053008111988576,-0.0032742451363844704,-0.006185006368316304,-0.0041512588162540475,-0.0027475242624057684
2534,ECB_02574,cds,hycB,2744098,2744709,"hydrogenase 3, Fe-S subunit",2744403.5,,,,,-0.005773115825988445,,-0.03922777465294858
2535,ECB_02575,cds,hycA,2744834,2745295,regulator of the transcriptional regulator FhlA,2745064.5,,,,,,,
2536,ECB_02576,cds,hypA,2745507,2745857,HypA,2745682.0,,,,,,,
2537,ECB_02577,cds,hypB,2745861,2746733,HypB,2746297.0,,,,,,,
2538,ECB_02578,cds,hypC,2746724,2746996,HypC,2746860.0,,,,,,,
2539,ECB_02579,cds,hypD,2746996,2748117,HypD,2747556.5,,-0.003107905662096224,-0.02269918186552431,-0.00028186234259642624,0.0005499008818843513,-0.009394387513111519,-0.0029198698083889927
2540,ECB_02580,cds,hypE,2748156,2749124,"carbamoyl phosphate phosphatase, hydrogenase 3 maturation protein",2748640.0,,-0.0029231574245948966,-0.0031020299544067416,-0.01763093412595579,-0.0011241516786529354,-0.005948288936475245,0.009360363580176894
